iter	RMSE
0	0.5101262788
1	0.5060586985
2	0.5029454284
3	0.4998617674
4	0.4971582638
5	0.4951158493
6	0.4928753116
7	0.4914838357
8	0.4894892001
9	0.4876887111
10	0.4863559684
11	0.485070409
12	0.483979591
13	0.4828565271
14	0.4822682718
15	0.4818728248
16	0.4809746978
17	0.4803414304
18	0.47942026
19	0.47830213
20	0.4779092361
21	0.476931295
22	0.4766182389
23	0.4761865138
24	0.4753988104
25	0.4748030652
26	0.4737829186
27	0.4728411248
28	0.4721629365
29	0.4714477178
30	0.4709722182
31	0.4701961152
32	0.4697113476
33	0.4688476334
34	0.4685894871
35	0.4677031809
36	0.4673151876
37	0.4667582249
38	0.4665746218
39	0.465824829
40	0.4652409739
41	0.4648028266
42	0.4645206971
43	0.4642115535
44	0.4635242336
45	0.4628173064
46	0.4625381243
47	0.4624029539
48	0.4617328174
49	0.4611264702
50	0.4607614062
51	0.460623305
52	0.4601872511
53	0.4597936916
54	0.4597774301
55	0.4591627344
56	0.458735357
57	0.4583423063
58	0.457923178
59	0.4575661964
60	0.4571918747
61	0.4567009919
62	0.4561542552
63	0.4554998903
64	0.4549229566
65	0.454325718
66	0.4541915683
67	0.453697175
68	0.4534458596
69	0.4526531903
70	0.4521910763
71	0.4519646717
72	0.4515709318
73	0.4513509319
74	0.4511640381
75	0.4509542325
76	0.4509501762
77	0.450664145
78	0.4503468979
79	0.4499673924
80	0.4495380336
81	0.4491294265
82	0.4488920173
83	0.4486583855
84	0.4482931882
85	0.447602585
86	0.4471654481
87	0.4464479011
88	0.4462855423
89	0.44577226
90	0.4455943967
91	0.4453052591
92	0.4450565184
93	0.4446445775
94	0.4441779681
95	0.4438650175
96	0.4437037839
97	0.4431176144
98	0.4428028705
99	0.4426259902
100	0.4421821429
101	0.4420133769
102	0.4416646239
103	0.4412041563
104	0.440921646
105	0.4405458527
106	0.4403911193
107	0.4402446171
108	0.439739721
109	0.4391827314
110	0.4390275445
111	0.438688953
112	0.4381081558
113	0.4379748311
114	0.4376087297
115	0.4373558917
116	0.4366913766
117	0.4363317263
118	0.4362395688
119	0.4359837121
120	0.4358584661
121	0.4356720991
122	0.4353367147
123	0.4349470822
124	0.4345855133
125	0.4340473761
126	0.4338682299
127	0.4334811566
128	0.4332949935
129	0.4331082534
130	0.4328055642
131	0.4327385108
132	0.4320735596
133	0.4317605947
134	0.4315796441
135	0.4310566228
136	0.4306098166
137	0.4304923126
138	0.4301282723
139	0.4299727403
140	0.4298517015
141	0.4295880069
142	0.4293565698
143	0.4291963092
144	0.429110813
145	0.4286616815
146	0.4283356851
147	0.4278922624
148	0.4277174946
149	0.427653675
150	0.4275614304
151	0.4274800402
152	0.427336088
153	0.4272276798
154	0.4269270314
155	0.4268256949
156	0.4263881725
157	0.4261082358
158	0.4257271128
159	0.4254892419
160	0.4251969879
161	0.4249886514
162	0.4246604132
163	0.4243658347
164	0.4239825486
165	0.4236770406
166	0.4234201898
167	0.4231462943
168	0.4231135253
169	0.4227538925
170	0.4225365545
171	0.4224035428
172	0.4220999341
173	0.4219850506
174	0.421453849
175	0.4212878854
176	0.4212781953
177	0.421101807
178	0.420867854
179	0.4207704552
180	0.4206616552
181	0.4203532653
182	0.420244447
183	0.4199912854
184	0.4197569006
185	0.4196354702
186	0.419419187
187	0.4192852085
188	0.4188477196
189	0.4186662153
190	0.4185941973
191	0.4182189273
192	0.4180432374
193	0.4179392838
194	0.4177315756
195	0.4175867611
196	0.4173735448
197	0.4170242578
198	0.4168944411
199	0.4168299968
200	0.4167615251
201	0.4166647402
202	0.4164245019
203	0.4163153376
204	0.415970367
205	0.4157398857
206	0.4153800657
207	0.4153101156
208	0.4152380894
209	0.4151418013
210	0.4150870761
211	0.4148535512
212	0.4146142264
213	0.4144762735
214	0.4142848495
215	0.414193006
216	0.4141492847
217	0.4139118686
218	0.41383751
219	0.4135458778
220	0.4132979226
221	0.41314921
222	0.4130501204
223	0.4130189153
224	0.4128727467
225	0.4126660327
226	0.41244532
227	0.4122295387
228	0.412031053
229	0.4117709053
230	0.4113935126
231	0.4112926477
232	0.4109962562
233	0.4109380285
234	0.410907861
235	0.4106520083
236	0.410395882
237	0.4102949063
238	0.4100081877
239	0.4097943349
240	0.4097476401
241	0.409571287
242	0.409428089
243	0.4091274608
244	0.4090181077
245	0.4089478175
246	0.4086550667
247	0.4085505054
248	0.4084989712
249	0.4083511866
250	0.4081300635
251	0.4076703868
252	0.4075124756
253	0.407314644
254	0.4071306336
255	0.4068999254
256	0.4068197311
257	0.406538669
258	0.4062290507
259	0.4060417145
260	0.4057884908
261	0.405683196
262	0.4056330255
263	0.4055392495
264	0.4051116188
265	0.4050596856
266	0.4049134322
267	0.4048005072
268	0.4045401884
269	0.4043784955
270	0.4040769041
271	0.4040275021
272	0.4035602485
273	0.4032398873
274	0.4029286115
275	0.4028364914
276	0.4026415828
277	0.4023110259
278	0.402166678
279	0.4019830754
280	0.4019368785
281	0.4018700758
282	0.4018231033
283	0.4016195166
284	0.401384892
285	0.401235383
286	0.4012328799
287	0.4012274325
288	0.4009563003
289	0.4008434044
290	0.4005569919
291	0.4002877459
292	0.4001703253
293	0.3999744421
294	0.3997325462
295	0.3996223887
296	0.3994184499
297	0.3993310241
298	0.3990100689
299	0.3989090837
300	0.3988484932
301	0.3987306215
302	0.3985485539
303	0.3984929527
304	0.398361692
305	0.3983042026
306	0.3981732018
307	0.3980801766
308	0.3979626655
309	0.3978215285
310	0.3975656983
311	0.3975160908
312	0.397446175
313	0.3972502517
314	0.3970157948
315	0.3969581878
316	0.3968576401
317	0.3968553431
318	0.3967616918
319	0.3967086424
320	0.3965756009
321	0.3965137135
322	0.3963049906
323	0.396199647
324	0.3960932414
325	0.3960232231
326	0.3956613791
327	0.3956418453
328	0.3955231169
329	0.3952588014
330	0.3950994087
331	0.3950024808
332	0.3948569083
333	0.3948023004
334	0.394700495
335	0.3945523157
336	0.3943555764
337	0.3939653535
338	0.393846467
339	0.393680538
340	0.3934957296
341	0.393383286
342	0.3931898634
343	0.3931337931
344	0.393091655
345	0.3929419383
346	0.3926698363
347	0.3925033794
348	0.3923742907
349	0.3921453562
350	0.3919652168
351	0.3918649932
352	0.3918052448
353	0.3916405061
354	0.3914764159
355	0.3913215197
356	0.3911021924
357	0.3908277856
358	0.3906205399
359	0.3903649112
360	0.3901568519
361	0.3900754765
362	0.3900248873
363	0.3898248509
364	0.3894835471
365	0.389432201
366	0.3893477461
367	0.3891982703
368	0.3890997142
369	0.3889617861
370	0.3888612291
371	0.3888253733
372	0.3885498557
373	0.3883617474
374	0.3881478769
375	0.3880367346
376	0.3878712591
377	0.3875538772
378	0.3874523543
379	0.3873146912
380	0.3870911759
381	0.387030045
382	0.3868177338
383	0.3866751569
384	0.3866035799
385	0.3865307794
386	0.3863267855
387	0.3862775705
388	0.3861885209
389	0.386140684
390	0.386113612
391	0.3858864233
392	0.3858351747
